merchant,logoUrl,minPaymentPercentage,maxPaymentPercentage
80sPurple.com,http://img1.prosperent.com/images/logos/120x60/80sPurple.com.png,5,6
911HealthShop.com,http://img1.prosperent.com/images/logos/120x60/911HealthShop.com.png,7,8
A Matter of Fax,http://img1.prosperent.com/images/logos/120x60/A%20Matter%20of%20Fax.png,3,3
A1 Cardone,http://img1.prosperent.com/images/logos/120x60/A1%20Cardone.png,7,7
Abacus 24-7,http://img1.prosperent.com/images/logos/120x60/Abacus%2024-7.png,12,12
Abe's of Maine,http://img1.prosperent.com/images/logos/120x60/Abe%27s%20of%20Maine.png,2,6
Abes Market,http://img1.prosperent.com/images/logos/120x60/Abes%20Market.png,5,6
AbestKitchen,http://img1.prosperent.com/images/logos/120x60/AbestKitchen.png,3,4
AC Lens,http://img1.prosperent.com/images/logos/120x60/AC%20Lens.png,3,8
Accessory Geeks,http://img1.prosperent.com/images/logos/120x60/Accessory%20Geeks.png,9,11
Accorhotels.com,http://img1.prosperent.com/images/logos/120x60/Accorhotels.com.png,3,3
ActiveForever,http://img1.prosperent.com/images/logos/120x60/ActiveForever.png,3,6
activewearusa,http://img1.prosperent.com/images/logos/120x60/activewearusa.png,7,7
Activision,http://img1.prosperent.com/images/logos/120x60/Activision.png,4,4
Ad-Tech,http://img1.prosperent.com/images/logos/120x60/Ad-Tech.png,6,6
Adam and Eve Toys,http://img1.prosperent.com/images/logos/120x60/Adam%20and%20Eve%20Toys.png,15,15
Adams,http://img1.prosperent.com/images/logos/120x60/Adams.png,5,5
Addition Elle / Penningtons,http://img1.prosperent.com/images/logos/120x60/Addition%20Elle%20%2F%20Penningtons.png,3,3
adidas,http://img1.prosperent.com/images/logos/120x60/adidas.png,4,7
Adobe,http://img1.prosperent.com/images/logos/120x60/Adobe.png,3,89
Adorama,http://img1.prosperent.com/images/logos/120x60/Adorama.png,1,8
Adrianna Papell,http://img1.prosperent.com/images/logos/120x60/Adrianna%20Papell.png,4,4
Advance Auto Parts,http://img1.prosperent.com/images/logos/120x60/Advance%20Auto%20Parts.png,1,7
Aerin Rose,http://img1.prosperent.com/images/logos/120x60/Aerin%20Rose.png,6,6
Affliction,http://img1.prosperent.com/images/logos/120x60/Affliction.png,4,4
Agron,http://img1.prosperent.com/images/logos/120x60/Agron.png,6,6
Ahnu,http://img1.prosperent.com/images/logos/120x60/Ahnu.png,6,6
Air & Water,http://img1.prosperent.com/images/logos/120x60/Air%20%26%20Water.png,3,4
Airsoft Megastore,http://img1.prosperent.com/images/logos/120x60/Airsoft%20Megastore.png,6,6
AirsoftRC.com,http://img1.prosperent.com/images/logos/120x60/AirsoftRC.com.png,6,6
AJ Madison,http://img1.prosperent.com/images/logos/120x60/AJ%20Madison.png,2,3
Akademiks,http://img1.prosperent.com/images/logos/120x60/Akademiks.png,4,4
Akiles,http://img1.prosperent.com/images/logos/120x60/Akiles.png,4,4
ALDO,http://img1.prosperent.com/images/logos/120x60/ALDO.png,6,6
Alegria,http://img1.prosperent.com/images/logos/120x60/Alegria.png,6,6
Alfred Zahn Ltd,http://img1.prosperent.com/images/logos/120x60/Alfred%20Zahn%20Ltd.png,3,3
AliExpress,http://img1.prosperent.com/images/logos/120x60/AliExpress.png,1,6
All About Dance,http://img1.prosperent.com/images/logos/120x60/All%20About%20Dance.png,6,6
All Beds,http://img1.prosperent.com/images/logos/120x60/All%20Beds.png,4,4
All Sport Protection,http://img1.prosperent.com/images/logos/120x60/All%20Sport%20Protection.png,6,6
All Time TVs,http://img1.prosperent.com/images/logos/120x60/All%20Time%20TVs.png,2,2
All Vitamins Plus,http://img1.prosperent.com/images/logos/120x60/All%20Vitamins%20Plus.png,6,6
All-Battery.com,http://img1.prosperent.com/images/logos/120x60/All-Battery.com.png,10,11
all4cellular,http://img1.prosperent.com/images/logos/120x60/all4cellular.png,3,4
AllElectricScooters.com,http://img1.prosperent.com/images/logos/120x60/AllElectricScooters.com.png,7,7
Allen Edmonds,http://img1.prosperent.com/images/logos/120x60/Allen%20Edmonds.png,5,5
Allergy Be Gone,http://img1.prosperent.com/images/logos/120x60/Allergy%20Be%20Gone.png,3,4
Alpha Industries,http://img1.prosperent.com/images/logos/120x60/Alpha%20Industries.png,2,6
Altrec.com,http://img1.prosperent.com/images/logos/120x60/Altrec.com.png,2,7
Always For Me,http://img1.prosperent.com/images/logos/120x60/Always%20For%20Me.png,6,6
Amanda Rich,http://img1.prosperent.com/images/logos/120x60/Amanda%20Rich.png,6,6
Amanda Uprichard,http://img1.prosperent.com/images/logos/120x60/Amanda%20Uprichard.png,5,5
Amazing Socks,http://img1.prosperent.com/images/logos/120x60/Amazing%20Socks.png,4,5
Amelia Earhart,http://img1.prosperent.com/images/logos/120x60/Amelia%20Earhart.png,8,8
America's Best Contacts & Eyeglasses,http://img1.prosperent.com/images/logos/120x60/America%27s%20Best%20Contacts%20%26%20Eyeglasses.png,4,7
American Bridal,http://img1.prosperent.com/images/logos/120x60/American%20Bridal.png,7,10
American Diabetes Wholesale,http://img1.prosperent.com/images/logos/120x60/American%20Diabetes%20Wholesale.png,4,5
AmeriMark,http://img1.prosperent.com/images/logos/120x60/AmeriMark.png,7,8
Amiclubwear,http://img1.prosperent.com/images/logos/120x60/Amiclubwear.png,5,5
Amongst Friends,http://img1.prosperent.com/images/logos/120x60/Amongst%20Friends.png,4,4
Amrita Singh Jewelry,http://img1.prosperent.com/images/logos/120x60/Amrita%20Singh%20Jewelry.png,3,5
Anaconda Sports,http://img1.prosperent.com/images/logos/120x60/Anaconda%20Sports.png,4,5
Analog,http://img1.prosperent.com/images/logos/120x60/Analog.png,4,6
Anastasia,http://img1.prosperent.com/images/logos/120x60/Anastasia.png,4,4
AndOtherBrands,http://img1.prosperent.com/images/logos/120x60/AndOtherBrands.png,5,5
Angara,http://img1.prosperent.com/images/logos/120x60/Angara.png,7,7
Animal Den,http://img1.prosperent.com/images/logos/120x60/Animal%20Den.png,7,10
Ann Taylor,http://img1.prosperent.com/images/logos/120x60/Ann%20Taylor.png,4,4
Anna's Linens,http://img1.prosperent.com/images/logos/120x60/Anna%27s%20Linens.png,4,4
Anne Klein,http://img1.prosperent.com/images/logos/120x60/Anne%20Klein.png,3,6
Annette,http://img1.prosperent.com/images/logos/120x60/Annette.png,6,6
Annie Shoes,http://img1.prosperent.com/images/logos/120x60/Annie%20Shoes.png,3,3
Annie's Crafts,http://img1.prosperent.com/images/logos/120x60/Annie%27s%20Crafts.png,4,7
Anon,http://img1.prosperent.com/images/logos/120x60/Anon.png,6,6
Antigua Sportswear,http://img1.prosperent.com/images/logos/120x60/Antigua%20Sportswear.png,7,7
Anytime Costumes,http://img1.prosperent.com/images/logos/120x60/Anytime%20Costumes.png,6,7
Apothica,http://img1.prosperent.com/images/logos/120x60/Apothica.png,10,11
Apple Store,http://img1.prosperent.com/images/logos/120x60/Apple%20Store.png,1,1
Appliances Connection,http://img1.prosperent.com/images/logos/120x60/Appliances%20Connection.png,2,2
Aqua Supercenter,http://img1.prosperent.com/images/logos/120x60/Aqua%20Supercenter.png,3,4
Arctic Pole,http://img1.prosperent.com/images/logos/120x60/Arctic%20Pole.png,4,4
Argos,http://img1.prosperent.com/images/logos/120x60/Argos.png,1,1
Arnie,http://img1.prosperent.com/images/logos/120x60/Arnie.png,4,4
Art,http://img1.prosperent.com/images/logos/120x60/Art.png,6,6
Art.com,http://img1.prosperent.com/images/logos/120x60/Art.com.png,4,4
Arthur Beren,http://img1.prosperent.com/images/logos/120x60/Arthur%20Beren.png,2,2
AS Roma Store,http://img1.prosperent.com/images/logos/120x60/AS%20Roma%20Store.png,7,7
As Seen On TV,http://img1.prosperent.com/images/logos/120x60/As%20Seen%20On%20TV.png,4,6
Ashbury,http://img1.prosperent.com/images/logos/120x60/Ashbury.png,6,6
ashford,http://img1.prosperent.com/images/logos/120x60/ashford.png,1,5
Ashley Stewart,http://img1.prosperent.com/images/logos/120x60/Ashley%20Stewart.png,4,4
Asian Food Grocer,http://img1.prosperent.com/images/logos/120x60/Asian%20Food%20Grocer.png,7,8
Asian Ideas Inc,http://img1.prosperent.com/images/logos/120x60/Asian%20Ideas%20Inc.png,7,7
Asics Tiger Corp,http://img1.prosperent.com/images/logos/120x60/Asics%20Tiger%20Corp.png,5,6
Aspen Publishers,http://img1.prosperent.com/images/logos/120x60/Aspen%20Publishers.png,7,12
Athalon,http://img1.prosperent.com/images/logos/120x60/Athalon.png,7,8
Athleta,http://img1.prosperent.com/images/logos/120x60/Athleta.png,1,4
Audible.com,http://img1.prosperent.com/images/logos/120x60/Audible.com.png,7,7
Auditionsshoes.com,http://img1.prosperent.com/images/logos/120x60/Auditionsshoes.com.png,7,7
Auto Accessories Garage,http://img1.prosperent.com/images/logos/120x60/Auto%20Accessories%20Garage.png,6,6
Auto Barn,http://img1.prosperent.com/images/logos/120x60/Auto%20Barn.png,6,6
Auto Parts Express,http://img1.prosperent.com/images/logos/120x60/Auto%20Parts%20Express.png,4,5
Auto Parts Warehouse,http://img1.prosperent.com/images/logos/120x60/Auto%20Parts%20Warehouse.png,1,12
AutoAnything,http://img1.prosperent.com/images/logos/120x60/AutoAnything.png,2,8
Autogeek.net,http://img1.prosperent.com/images/logos/120x60/Autogeek.net.png,5,6
AutohausAZ,http://img1.prosperent.com/images/logos/120x60/AutohausAZ.png,4,4
Autopia Car Care,http://img1.prosperent.com/images/logos/120x60/Autopia%20Car%20Care.png,5,6
Autoplicity,http://img1.prosperent.com/images/logos/120x60/Autoplicity.png,7,7
AutoSport Catalog,http://img1.prosperent.com/images/logos/120x60/AutoSport%20Catalog.png,5,6
Avanquest Software,http://img1.prosperent.com/images/logos/120x60/Avanquest%20Software.png,18,18
Avenue,http://img1.prosperent.com/images/logos/120x60/Avenue.png,2,4
Avenue 8,http://img1.prosperent.com/images/logos/120x60/Avenue%208.png,8,8
Axion,http://img1.prosperent.com/images/logos/120x60/Axion.png,6,6
Azalea,http://img1.prosperent.com/images/logos/120x60/Azalea.png,5,5
B&T Factory Direct,http://img1.prosperent.com/images/logos/120x60/B%26T%20Factory%20Direct.png,3,4
B.A. Mason,http://img1.prosperent.com/images/logos/120x60/B.A.%20Mason.png,8,8
B2CForce,http://img1.prosperent.com/images/logos/120x60/B2CForce.png,10,10
Babies1st,http://img1.prosperent.com/images/logos/120x60/Babies1st.png,7,7
Baby Age,http://img1.prosperent.com/images/logos/120x60/Baby%20Age.png,3,3
Baby Catalog,http://img1.prosperent.com/images/logos/120x60/Baby%20Catalog.png,1,5
Baby Dove,http://img1.prosperent.com/images/logos/120x60/Baby%20Dove.png,4,4
Baby First,http://img1.prosperent.com/images/logos/120x60/Baby%20First.png,14,14
Baby Phat,http://img1.prosperent.com/images/logos/120x60/Baby%20Phat.png,4,4
BabyEarth,http://img1.prosperent.com/images/logos/120x60/BabyEarth.png,4,5
Babyletto,http://img1.prosperent.com/images/logos/120x60/Babyletto.png,3,3
BabyViva,http://img1.prosperent.com/images/logos/120x60/BabyViva.png,4,4
Backcountry,http://img1.prosperent.com/images/logos/120x60/Backcountry.png,1,8
Backwoods,http://img1.prosperent.com/images/logos/120x60/Backwoods.png,7,8
Badger Basket,http://img1.prosperent.com/images/logos/120x60/Badger%20Basket.png,3,3
Bag Borrow or Steal,http://img1.prosperent.com/images/logos/120x60/Bag%20Borrow%20or%20Steal.png,6,14
Bag King,http://img1.prosperent.com/images/logos/120x60/Bag%20King.png,6,7
Baggu,http://img1.prosperent.com/images/logos/120x60/Baggu.png,6,6
Bags & Bows by Deluxe,http://img1.prosperent.com/images/logos/120x60/Bags%20%26%20Bows%20by%20Deluxe.png,10,11
Bagsbuy.com,http://img1.prosperent.com/images/logos/120x60/Bagsbuy.com.png,4,14
Banana Fish,http://img1.prosperent.com/images/logos/120x60/Banana%20Fish.png,3,3
Banana Republic,http://img1.prosperent.com/images/logos/120x60/Banana%20Republic.png,1,12
Barco Products,http://img1.prosperent.com/images/logos/120x60/Barco%20Products.png,9,9
Bare Necessities,http://img1.prosperent.com/images/logos/120x60/Bare%20Necessities.png,2,6
Barefoot Tess,http://img1.prosperent.com/images/logos/120x60/Barefoot%20Tess.png,1,12
BargainStation.com,http://img1.prosperent.com/images/logos/120x60/BargainStation.com.png,2,5
Barneys New York,http://img1.prosperent.com/images/logos/120x60/Barneys%20New%20York.png,4,4
Barron Designs,http://img1.prosperent.com/images/logos/120x60/Barron%20Designs.png,2,2
Baseball Express,http://img1.prosperent.com/images/logos/120x60/Baseball%20Express.png,6,6
Baseball Rampage,http://img1.prosperent.com/images/logos/120x60/Baseball%20Rampage.png,6,7
Baseball Savings,http://img1.prosperent.com/images/logos/120x60/Baseball%20Savings.png,4,4
Bass Brushes,http://img1.prosperent.com/images/logos/120x60/Bass%20Brushes.png,6,6
Bass Pro Shops,http://img1.prosperent.com/images/logos/120x60/Bass%20Pro%20Shops.png,4,5
Bassett Mirror,http://img1.prosperent.com/images/logos/120x60/Bassett%20Mirror.png,3,3
Bata Shoe,http://img1.prosperent.com/images/logos/120x60/Bata%20Shoe.png,3,3
Bauer,http://img1.prosperent.com/images/logos/120x60/Bauer.png,4,4
BB Dakota,http://img1.prosperent.com/images/logos/120x60/BB%20Dakota.png,4,6
Be Wild,http://img1.prosperent.com/images/logos/120x60/Be%20Wild.png,7,8
Beach Trading Co.,http://img1.prosperent.com/images/logos/120x60/Beach%20Trading%20Co..png,1,2
Beacon Looms,http://img1.prosperent.com/images/logos/120x60/Beacon%20Looms.png,3,3
Bealls,http://img1.prosperent.com/images/logos/120x60/Bealls.png,5,6
Beauty Bridge,http://img1.prosperent.com/images/logos/120x60/Beauty%20Bridge.png,7,12
Beauty Encounter,http://img1.prosperent.com/images/logos/120x60/Beauty%20Encounter.png,4,5
Beauty.com,http://img1.prosperent.com/images/logos/120x60/Beauty.com.png,6,10
BeautyChoice,http://img1.prosperent.com/images/logos/120x60/BeautyChoice.png,7,8
BeautyNeeds,http://img1.prosperent.com/images/logos/120x60/BeautyNeeds.png,6,6
bebe,http://img1.prosperent.com/images/logos/120x60/bebe.png,3,4
Becker,http://img1.prosperent.com/images/logos/120x60/Becker.png,6,7
BedBathStore,http://img1.prosperent.com/images/logos/120x60/BedBathStore.png,3,6
BeddingStyle,http://img1.prosperent.com/images/logos/120x60/BeddingStyle.png,7,8
Bedford Fair Lifestyles,http://img1.prosperent.com/images/logos/120x60/Bedford%20Fair%20Lifestyles.png,4,4
BedHead Pajamas,http://img1.prosperent.com/images/logos/120x60/BedHead%20Pajamas.png,7,8
bellacor,http://img1.prosperent.com/images/logos/120x60/bellacor.png,2,6
Bellatrix,http://img1.prosperent.com/images/logos/120x60/Bellatrix.png,4,4
BeltOutlet.Com,http://img1.prosperent.com/images/logos/120x60/BeltOutlet.Com.png,7,8
Ben Meadows,http://img1.prosperent.com/images/logos/120x60/Ben%20Meadows.png,4,4
Bench & Loom,http://img1.prosperent.com/images/logos/120x60/Bench%20%26%20Loom.png,5,5
Bentgate.com,http://img1.prosperent.com/images/logos/120x60/Bentgate.com.png,6,6
Bernie Mev,http://img1.prosperent.com/images/logos/120x60/Bernie%20Mev.png,3,3
Best Buy,http://img1.prosperent.com/images/logos/120x60/Best%20Buy.png,1,4
Best Insoles,http://img1.prosperent.com/images/logos/120x60/Best%20Insoles.png,4,4
Bestbathrooms.com,http://img1.prosperent.com/images/logos/120x60/Bestbathrooms.com.png,3,3
BestBridalPrices.com,http://img1.prosperent.com/images/logos/120x60/BestBridalPrices.com.png,4,5
BestBuyEyeGlasses.com,http://img1.prosperent.com/images/logos/120x60/BestBuyEyeGlasses.com.png,2,12
Betsey Johnson,http://img1.prosperent.com/images/logos/120x60/Betsey%20Johnson.png,4,4
Betsey Johnson Intimates,http://img1.prosperent.com/images/logos/120x60/Betsey%20Johnson%20Intimates.png,6,6
Better Health Innovations,http://img1.prosperent.com/images/logos/120x60/Better%20Health%20Innovations.png,4,5
Betty's Attic,http://img1.prosperent.com/images/logos/120x60/Betty%27s%20Attic.png,9,9
Beverly Hills Country Club,http://img1.prosperent.com/images/logos/120x60/Beverly%20Hills%20Country%20Club.png,8,8
Beverly Hills Polo Club,http://img1.prosperent.com/images/logos/120x60/Beverly%20Hills%20Polo%20Club.png,4,4
BHS,http://img1.prosperent.com/images/logos/120x60/BHS.png,4,4
BIC Warehouse,http://img1.prosperent.com/images/logos/120x60/BIC%20Warehouse.png,4,7
Big Al's,http://img1.prosperent.com/images/logos/120x60/Big%20Al%27s.png,4,4
Big Dogs Sportswear,http://img1.prosperent.com/images/logos/120x60/Big%20Dogs%20Sportswear.png,7,7
Big Dot Of Happiness Shops,http://img1.prosperent.com/images/logos/120x60/Big%20Dot%20Of%20Happiness%20Shops.png,7,8
Big Drop NYC,http://img1.prosperent.com/images/logos/120x60/Big%20Drop%20NYC.png,6,6
Big Girls Bras,http://img1.prosperent.com/images/logos/120x60/Big%20Girls%20Bras.png,6,6
BigDaddyBeauty.com,http://img1.prosperent.com/images/logos/120x60/BigDaddyBeauty.com.png,7,7
BigFitness.net,http://img1.prosperent.com/images/logos/120x60/BigFitness.net.png,5,5
BikeBandit.com,http://img1.prosperent.com/images/logos/120x60/BikeBandit.com.png,2,5
bikenashbar.com,http://img1.prosperent.com/images/logos/120x60/bikenashbar.com.png,1,5
BikeSomeWhere.com,http://img1.prosperent.com/images/logos/120x60/BikeSomeWhere.com.png,5,5
Billionaire Boys Club,http://img1.prosperent.com/images/logos/120x60/Billionaire%20Boys%20Club.png,4,4
Bilstein,http://img1.prosperent.com/images/logos/120x60/Bilstein.png,6,6
Birthday Express,http://img1.prosperent.com/images/logos/120x60/Birthday%20Express.png,5,6
Birthday in a Box,http://img1.prosperent.com/images/logos/120x60/Birthday%20in%20a%20Box.png,6,15
BJs Wholesale Club,http://img1.prosperent.com/images/logos/120x60/BJs%20Wholesale%20Club.png,1,2
Black Apple,http://img1.prosperent.com/images/logos/120x60/Black%20Apple.png,4,4
Black Halo,http://img1.prosperent.com/images/logos/120x60/Black%20Halo.png,4,4
Blair,http://img1.prosperent.com/images/logos/120x60/Blair.png,7,8
Blank Denim,http://img1.prosperent.com/images/logos/120x60/Blank%20Denim.png,4,4
Bliss,http://img1.prosperent.com/images/logos/120x60/Bliss.png,6,6
Bloom,http://img1.prosperent.com/images/logos/120x60/Bloom.png,6,6
Bloom.com,http://img1.prosperent.com/images/logos/120x60/Bloom.com.png,6,6
Blowfish,http://img1.prosperent.com/images/logos/120x60/Blowfish.png,6,6
Blue Moon Beads,http://img1.prosperent.com/images/logos/120x60/Blue%20Moon%20Beads.png,5,5
Bluedolphin.com,http://img1.prosperent.com/images/logos/120x60/Bluedolphin.com.png,24,24
Bluefly,http://img1.prosperent.com/images/logos/120x60/Bluefly.png,1,6
Blundstone,http://img1.prosperent.com/images/logos/120x60/Blundstone.png,6,6
BLVCK SCVLE,http://img1.prosperent.com/images/logos/120x60/BLVCK%20SCVLE.png,4,5
Boaters World,http://img1.prosperent.com/images/logos/120x60/Boaters%20World.png,4,5
BobWards.com,http://img1.prosperent.com/images/logos/120x60/BobWards.com.png,6,6
Body Candy,http://img1.prosperent.com/images/logos/120x60/Body%20Candy.png,10,12
Body Central,http://img1.prosperent.com/images/logos/120x60/Body%20Central.png,1,4
BodyBelle,http://img1.prosperent.com/images/logos/120x60/BodyBelle.png,2,2
Bodybuilding.com,http://img1.prosperent.com/images/logos/120x60/Bodybuilding.com.png,3,12
Bonsai Boy of New York,http://img1.prosperent.com/images/logos/120x60/Bonsai%20Boy%20of%20New%20York.png,6,6
Bookbyte,http://img1.prosperent.com/images/logos/120x60/Bookbyte.png,4,4
Boot Barn,http://img1.prosperent.com/images/logos/120x60/Boot%20Barn.png,2,6
Boots Retail,http://img1.prosperent.com/images/logos/120x60/Boots%20Retail.png,4,4
Born,http://img1.prosperent.com/images/logos/120x60/Born.png,6,6
Bosca,http://img1.prosperent.com/images/logos/120x60/Bosca.png,8,8
Boscov's,http://img1.prosperent.com/images/logos/120x60/Boscov%27s.png,1,4
BOSS Black,http://img1.prosperent.com/images/logos/120x60/BOSS%20Black.png,4,4
"Boston Proper, Inc.",http://img1.prosperent.com/images/logos/120x60/Boston%20Proper%2C%20Inc..png,3,3
Botanic Choice,http://img1.prosperent.com/images/logos/120x60/Botanic%20Choice.png,11,12
Bottega Veneta,http://img1.prosperent.com/images/logos/120x60/Bottega%20Veneta.png,6,6
Boutique 9 Shoes,http://img1.prosperent.com/images/logos/120x60/Boutique%209%20Shoes.png,4,4
Boutique To You,http://img1.prosperent.com/images/logos/120x60/Boutique%20To%20You.png,4,6
Bowery Lighting,http://img1.prosperent.com/images/logos/120x60/Bowery%20Lighting.png,4,4
Bowflex,http://img1.prosperent.com/images/logos/120x60/Bowflex.png,5,5
BrandsMart USA,http://img1.prosperent.com/images/logos/120x60/BrandsMart%20USA.png,3,3
Brian Tracy,http://img1.prosperent.com/images/logos/120x60/Brian%20Tracy.png,14,14
BrickHouse Security,http://img1.prosperent.com/images/logos/120x60/BrickHouse%20Security.png,6,10
Brine,http://img1.prosperent.com/images/logos/120x60/Brine.png,5,5
Brooks Brothers,http://img1.prosperent.com/images/logos/120x60/Brooks%20Brothers.png,2,7
Brooks Running,http://img1.prosperent.com/images/logos/120x60/Brooks%20Running.png,5,6
Brookstone,http://img1.prosperent.com/images/logos/120x60/Brookstone.png,5,6
Brownells,http://img1.prosperent.com/images/logos/120x60/Brownells.png,1,9
Bruno Magli,http://img1.prosperent.com/images/logos/120x60/Bruno%20Magli.png,4,4
Bubbles Bodywear,http://img1.prosperent.com/images/logos/120x60/Bubbles%20Bodywear.png,6,6
Buckle.com,http://img1.prosperent.com/images/logos/120x60/Buckle.com.png,2,4
Buddha Groove,http://img1.prosperent.com/images/logos/120x60/Buddha%20Groove.png,6,6
Buddha Groove Buddha Inspired Statues Dcor Home Accents Gifts,http://img1.prosperent.com/images/logos/120x60/Buddha%20Groove%20Buddha%20Inspired%20Statues%20Dcor%20Home%20Accents%20Gifts.png,6,6
Budo Videos,http://img1.prosperent.com/images/logos/120x60/Budo%20Videos.png,7,8
BudShop.com,http://img1.prosperent.com/images/logos/120x60/BudShop.com.png,7,8
Buffalo David Bitton,http://img1.prosperent.com/images/logos/120x60/Buffalo%20David%20Bitton.png,3,3
Build A Sign LLC,http://img1.prosperent.com/images/logos/120x60/Build%20A%20Sign%20LLC.png,12,12
Build.com,http://img1.prosperent.com/images/logos/120x60/Build.com.png,3,6
BuildDirect,http://img1.prosperent.com/images/logos/120x60/BuildDirect.png,3,3
BulbAmerica,http://img1.prosperent.com/images/logos/120x60/BulbAmerica.png,6,6
BulkOfficeSupply.com,http://img1.prosperent.com/images/logos/120x60/BulkOfficeSupply.com.png,3,3
Bulova,http://img1.prosperent.com/images/logos/120x60/Bulova.png,7,7
Burberry Beauty,http://img1.prosperent.com/images/logos/120x60/Burberry%20Beauty.png,4,4
Burke Decor,http://img1.prosperent.com/images/logos/120x60/Burke%20Decor.png,4,6
Burpee,http://img1.prosperent.com/images/logos/120x60/Burpee.png,6,11
Burton,http://img1.prosperent.com/images/logos/120x60/Burton.png,6,6
Bush Industries,http://img1.prosperent.com/images/logos/120x60/Bush%20Industries.png,3,3
Busted Tees,http://img1.prosperent.com/images/logos/120x60/Busted%20Tees.png,8,10
Butler Specialty Co,http://img1.prosperent.com/images/logos/120x60/Butler%20Specialty%20Co.png,3,3
butterflyphoto,http://img1.prosperent.com/images/logos/120x60/butterflyphoto.png,2,3
BuyAndWalk.com,http://img1.prosperent.com/images/logos/120x60/BuyAndWalk.com.png,10,12
BuyCostumes.com,http://img1.prosperent.com/images/logos/120x60/BuyCostumes.com.png,7,10
BuySKU,http://img1.prosperent.com/images/logos/120x60/BuySKU.png,3,4
C&H Distributors,http://img1.prosperent.com/images/logos/120x60/C%26H%20Distributors.png,5,6
C.O. Bigelow,http://img1.prosperent.com/images/logos/120x60/C.O.%20Bigelow.png,6,10
C28,http://img1.prosperent.com/images/logos/120x60/C28.png,7,7
Cabela's,http://img1.prosperent.com/images/logos/120x60/Cabela%27s.png,1,4
Cabelas.com,http://img1.prosperent.com/images/logos/120x60/Cabelas.com.png,1,8
Cache,http://img1.prosperent.com/images/logos/120x60/Cache.png,1,4
Calendars.com,http://img1.prosperent.com/images/logos/120x60/Calendars.com.png,7,8
Calendarscom and DogBreedStore.com,http://img1.prosperent.com/images/logos/120x60/Calendarscom%20and%20DogBreedStore.com.png,7,8
California Innovations,http://img1.prosperent.com/images/logos/120x60/California%20Innovations.png,3,3
